,username,note,sentiment,date
8477,sammyjoestrella,No kickboxing classes today  pretty bummed. Still going to work out hard. http://myloc.me/1ZT0,fear,30/01/2022
1566,AlexiaRamirez,"Well I did run over a cat today (I know how sad) I cried and screamed my lungs out!!! I felt HORRIBLE, poor thing",fear,11/01/2022
8569,nessie_111,some1 said if your not online your a no1...if you are online your a no1.. can't bloody win  lol,fear,18/03/2022
39386,nicolax89,actually loves nesquik cereal,love,10/04/2022
32761,LatifaAlMansoui,Halla Miss Haloom  .. how are you dear? am doing fine so far but .. eeem worrying about rationale project.. Allah eyaseer inshallah,fear,29/03/2022
26240,tiffakneehigh,Bon Voyage birthday Brother @ Mccarran! cyah again vegas in july. havent slept yet &amp; class @ 1  .. such a fun weekend,surprise,10/03/2022
2838,GoldCoastGirl,@ErikVeland i'm not in the best financial situation myself at the moment. i'm beyond broke. my money is spend as soon as i earn it atm,neutral,08/05/2022
7328,Natalie_1990,"didnt enjoy having to say goodbye to alex, v emotional times  but the sun is making me happy !",sadness,09/03/2022
35081,snakelady,"@discombob Yeah, she's done it several times. My Dumerils boa did it a few times w/ no prob. Just wonder if my hognose needs bigger food.",fear,12/02/2022
2171,gem_quack_quack,starting to wonder if I'm going to get this job... came across as though i'd find work elsewhere if needs must... not intentionally,neutral,24/04/2022
35827,Ray_Anthony,@whoariley riley hacked my twitter!  hahaha :],neutral,12/03/2022
4284,Jennyh021,just got off work.... working night shift at the hospital 12 hrs a day is starting to get to me...,sadness,07/04/2022
30814,erin_welch,Helping with &quot;kiddie church&quot; tomorrow! Yay little guys!!,surprise,01/03/2022
24132,jellybeansoup,@greggrunberg Just discovered your 'Band from TV'... you guys are really good! Love the music,love,23/03/2022
15157,blackHeart21Red,Excellent the Suzaku 7 are back together  woop last episode  hope its a happy one i'm a sucker for these really lol shh,happy,23/03/2022
32176,redtogray,"long, fun day  now for some relaxation. some TV with the mom, then sleeeep",happy,23/02/2022
30857,bexmith,"@etniqminerals it shocked D &amp; I, too!  Puts things in a whole new, empowering, light... now doesn't it?",surprise,02/05/2022
37100,diyagirl,http://twitpic.com/4wqfv - dark berry mocha frapp.. heaven.. TRY IT EVERYONE!!  here.. let me pass it to you,surprise,06/03/2022
27379,abby320,excited about this week! trying to have a productive monday. trying. hard.,surprise,14/04/2022
30253,LadyHhugs,@ericviolette hi eric I hope your having a beautiful Saturday,neutral,05/01/2022
31047,ayesiobhan,"today was alot of fun. i love my family ,sammy hernandez and caitlin hughes.  goodnight!",fear,04/05/2022
4436,andi_lynn,I think i need some new friends,sadness,22/02/2022
28090,locklund,"@emmaemelie haha thanx.. now, twitter is a lot more public at YBC than i presumed",surprise,11/03/2022
34851,mariathemuse,@elizrn Your Welcome,neutral,23/01/2022
7636,kelseymartinez1,here again in school bored wanting  2 go home,neutral,19/04/2022
38244,Mielo19,Listening 'Hallelujah' on Youtube. Leonard Cohen wins.  #xfactor,neutral,01/03/2022
14771,alexisnoel,Well it's official I have strep,sadness,10/05/2022
13612,EthicalAtheist,You can't even gift money away these days.  re: http://ff.im/3lqUx,sadness,03/01/2022
6765,poketh,@francecino its alright babes &gt;&lt; boo. im gonna leave agaiiiiin,surprise,19/03/2022
14121,drerae,@NikkiCrivello i've got really bad arthritus in my left hand. I cant use my thumb at all,fear,07/04/2022
22649,LaciesMom,Hannah slept here last night  just gave her her 5:00 AM bottle and she went right back to sleep but I'm up! lol,neutral,26/04/2022
37879,janiferrr,actual updateee...sleeeping soon. watching the lion kinggg.,neutral,13/01/2022
17680,sweetdream4,"oy, im such a nerd..im writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to &quot;strange activities&quot;",sadness,22/04/2022
1545,snukembears,I am down  I need my snuggles but he is at work and he don't like to snuggle  ironic huh...,fear,15/01/2022
21824,neonsplat,"morning, how is everone? sing to me  You tuck me in, Turn out the light, kept me safe and sound at night. (8)",neutral,20/02/2022
18518,c0ldasfire,lost some $ at work....nt happy right now    --SLOANSTER--,sadness,17/01/2022
23826,mayschool,"@loisheilig I always told my kids that I see and hear everything so mind your manors, so I guess that proved it to him.",neutral,01/05/2022
16155,tuckisuha,Oh..I'm so borin'.. why not play the computer?? My mom's say: because your makin' task..!!,sadness,14/04/2022
5250,iLoveLutz,Oh my poop. Stupid Twitter won't let me put up a new picture.,sadness,26/04/2022
22381,mitchcooper,@kristarella If you're flying to NZ www.hot.co.nz is a great way to get results in aggregate.,love,03/03/2022
23027,marvivian,@pandemicz yes,neutral,05/02/2022
17879,WiseHermit,Doesnt't want to get up,fear,09/04/2022
26379,NicolePRexec,Working on a PR plan. Then it is on to awards.,fear,18/04/2022
